time,clean_flux,noisy_flux
260.24460517207626,0.9997386,1.0011324727097801
260.26503825565305,0.999977,0.9985989920227271
260.28547123923636,0.9996931,0.9980922001613679
260.30590442258836,0.99981165,1.0012773891940914
260.3263375059323,0.9998566,1.0014567384637278
260.34677048904996,0.9995559,0.9991977425010635
260.36720357193553,0.9999729,1.0025616207049752
260.3876367548146,0.99984735,0.9982255899607967
260.4080697374666,0.99976945,1.0021997838484482
260.4285028198865,0.99982226,1.0008326058450685
260.4489360022999,0.9998895,1.0007097764427837
260.4693689844862,1.0000663,0.9989325879576643
260.4898020666733,0.9998642,1.0006365092251086
260.51023524862103,1.0000619,0.9963571004141737
260.5306682303417,0.9998613,1.0015643405842911
260.5511013120631,0.99992305,0.9991361833148695
260.5715343935444,0.9999061,1.0021309795808822
260.59196757480095,1.0002838,1.0021701874641216
260.61240055593953,1.000267,0.9999504868261437
260.6328336370716,1.0004268,0.9979560523649942
260.6532668179789,1.0001236,1.0035073758611701
260.6736997987682,1.0002347,1.003009061789315
260.6941328793182,1.0001143,0.9981803756199208
260.7145658598747,0.99980146,0.9995401226726763
260.7349990401999,1.0001162,1.0002695844525205
260.75543212040066,1.0003443,0.9987379504099066
260.77586520037585,1.0001191,0.9973878476100485
260.7962982802346,0.9999374,0.998456398018569
260.8167313599697,1.0000318,0.9972441780898982
260.8371643395949,1.0001932,0.9995564798170233
260.8575974191044,1.000181,0.9994045881281487
260.8780305983746,0.9999805,1.0009090997037937
260.8984636775349,1.000062,1.0000700457225182
260.918896656578,1.0002207,1.003061143791578
260.93932983549894,0.9999947,1.00017093536593
260.9597628141928,1.0002277,1.0011374329486764
260.980195892771,1.0001603,0.9981425648796829
261.0006290712263,1.0000683,0.9990477828728652
261.0210620495709,1.0003111,1.0023292104348656
261.04149512768345,1.0002519,0.9984746908524315
261.0619282057887,1.00019,1.0004546021545413
261.08236128366843,1.0002314,0.9967161692962843
261.1027943613153,1.0000776,1.0022758826957041
261.1232274389622,1.0001025,1.0032930389396073
261.14366061636974,1.0004393,1.0004387741042104
261.1640935936666,1.0004426,0.9975895196615395
261.18452667084057,1.0001484,1.004047059817454
261.2049596477882,1.0003784,0.9962546171272938
261.22539282473736,1.000367,0.9995938698254835
261.2458259014529,1.0006156,1.0016681912426935
261.266258878044,1.0003283,1.0005160422178414
261.2866920544111,1.0002173,0.9990083622576981
261.30712513065373,0.9994723,1.000969038245679
261.32755820690363,1.0003762,0.9999044357008452
261.34799118291994,1.0003045,0.9987286454835738
261.36842435870494,1.0003189,1.0000533520231178
261.3888574344819,1.0003248,1.0015198997065529
261.40929041003255,1.0001925,0.9976818466837444
261.42972358546103,1.0002265,1.0017243525774766
261.4501566606632,1.0003308,1.0003799574682735
261.4910228108347,1.0000561,0.9978199925676324
261.51145588568033,1.0002794,1.0061690187562866
261.5318888604161,0.999808,0.9979035539893463
261.55232193503616,1.0002965,1.0001275083003316
261.5727551094169,0.9999228,0.9969657912397267
261.59318818368774,0.9997787,1.0009903794662214
261.6136211578414,0.9998618,1.0037024536038117
261.6340543318729,1.0000064,0.9972547481929667
261.6544874056781,1.0001707,1.0016446786020776
261.6749203793661,1.000187,0.9997544402766285
261.69535345293116,1.0003048,1.0020896649711188
261.71578662638785,1.0002102,0.9998017578910905
261.7362195997266,1.0000218,0.9966231327277281
261.756652672826,1.0004847,1.0018650240591318
261.77708584581706,1.000289,1.0000697747071439
261.79751881869015,1.0006142,1.0002711838086236
261.8179518914403,1.0004244,1.0027183119594436
261.8383849639649,1.00031,1.0017511994032915
261.85881803648954,1.0001997,1.001360760283343
261.87925110877404,0.999813,1.0010440238695906
261.899684180833,1.0005473,1.0003122170938747
261.9201173528854,1.0001574,1.000792826209126
261.9405503247108,0.9999329,0.9970882962576151
261.9609833964205,1.0002811,1.0002847811626905
261.98141656800726,1.0002292,1.0000669921909224
262.0018495394834,1.0003034,1.002846416908023
262.02228261084383,1.0001872,1.0018841443706
262.0427155819707,1.0002635,1.001144808710146
262.0631487529754,1.0002947,0.999138977771163
262.0835818238702,1.0000818,1.0009294178535126
262.10401489453216,0.9999359,0.9956832979893986
262.12444796518685,1.0002936,0.9976904627694875
262.144881035616,0.9998804,0.9993611043774089
262.1653141059214,1.0000519,0.9980027436222495
262.18574707611697,0.99968225,1.0036646131688145
262.2061802460812,1.0000199,1.0000147113824764
262.2266133160447,0.9998127,0.9967984073833337
262.2470462857673,0.99985033,1.0014829392971163
262.2674794553823,1.0000485,0.9984132855172878
262.2879124248793,1.0000385,0.9992305780176186
262.30834549413703,0.9996116,0.9993165855809615
262.3287785632856,0.9998213,0.9993178142028029
262.34921163243416,0.9999287,0.9976120406371358
262.3696447012262,0.9997689,0.9981787109914203
262.3900777700255,1.0000013,1.0020044676216855
262.41051083870843,0.9997455,1.0011399718198177
262.43094390715123,1.0001724,1.001882939215684
262.4513769754849,1.00005,0.9986301302661569
262.4718101437029,0.9997427,0.9961050700046684
262.4922431116793,1.0000677,1.0006026063428333
262.5126761796637,0.9997563,1.0016422793926183
262.5331091474145,0.9999025,1.0010233701154923
